S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
1632.0,2018-01-17,347.00,347.00,341.00,343.00,0.0,"8,376.00","28,88,062.00",14.24,24.0870786516854
1633.0,2018-01-16,345.00,351.00,342.00,347.00,0.0,"16,550.00","57,47,097.00",14.24,24.3679775280899
1634.0,2018-01-14,346.00,346.00,340.00,345.00,0.0,"12,291.00","42,30,413.00",13.51,25.5366395262768
1635.0,2018-01-10,350.00,349.00,344.00,346.00,0.0,"8,821.00","30,59,176.00",13.51,25.6106587712805
1636.0,2018-01-09,348.00,350.00,348.00,350.00,0.0,"10,010.00","34,95,414.00",13.51,25.9067357512953
1637.0,2018-01-08,345.00,350.00,345.00,348.00,0.0,"17,120.00","59,47,039.00",13.51,25.7586972612879
1638.0,2018-01-07,338.00,347.00,337.00,345.00,0.0,"9,386.00","32,04,996.00",13.51,25.5366395262768
1639.0,2018-01-04,336.00,342.00,335.00,338.00,0.0,"10,327.00","34,95,359.00",13.51,25.0185048112509
1640.0,2018-01-03,342.00,341.00,336.00,336.00,0.0,"10,654.00","36,02,711.00",13.51,24.8704663212435
1641.0,2018-01-02,344.00,347.00,339.00,342.00,0.0,"11,570.00","39,77,039.00",13.51,25.3145817912657
1642.0,2018-01-01,337.00,346.00,337.00,344.00,0.0,"15,700.00","53,40,067.00",13.51,25.4626202812731
1643.0,2017-12-31,339.00,344.00,331.00,337.00,0.0,"13,062.00","43,57,124.00",13.51,24.9444855662472
1644.0,2017-12-28,339.00,343.00,336.00,339.00,0.0,"7,672.00","25,99,260.00",13.51,25.0925240562546
1645.0,2017-12-27,343.00,345.00,332.00,339.00,0.0,"16,281.00","55,38,580.00",13.51,25.0925240562546
1646.0,2017-12-26,349.00,347.00,342.00,343.00,0.0,"7,661.00","26,36,585.00",13.51,25.3886010362694
1647.0,2017-12-24,349.00,351.00,346.00,349.00,0.0,"15,350.00","53,58,469.00",13.51,25.8327165062916
1648.0,2017-12-21,352.00,351.00,347.00,349.00,0.0,"9,168.00","32,03,323.00",13.51,25.8327165062916
1649.0,2017-12-20,360.00,360.00,352.00,352.00,0.0,"8,188.00","29,04,127.00",13.51,26.0547742413027
1650.0,2017-12-19,360.00,360.00,353.00,360.00,0.0,"7,876.00","28,13,597.00",13.51,26.6469282013323
1651.0,2017-12-18,355.00,363.00,354.00,360.00,0.0,"19,571.00","69,89,313.00",13.51,26.6469282013323
1652.0,2017-12-17,365.00,360.00,351.00,355.00,0.0,"5,006.00","17,85,516.00",13.51,26.2768319763138
1653.0,2017-12-14,359.00,365.00,359.00,365.00,0.0,"7,250.00","26,25,200.00",13.51,27.0170244263509
1654.0,2017-12-13,358.00,360.00,355.00,359.00,0.0,"6,093.00","21,86,560.00",13.51,26.5729089563286
