S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
599.0,2022-07-19,709.0,718.0,704.1,713.0,1.42,96528.0,68800235.5,39.13,18.2213135701508
598.0,2022-07-20,710.0,720.0,709.0,716.0,0.42,64499.0,46187074.6,39.13,18.2979810886788
597.0,2022-07-21,730.0,735.0,719.0,722.0,0.84,155068.0,112262850.6,39.13,18.4513161257347
596.0,2022-07-22,724.0,724.9,712.0,713.0,-1.25,47223.0,33795047.5,39.13,18.2213135701508
595.0,2022-07-24,713.0,724.9,706.0,724.0,1.54,86801.0,62181450.4,39.13,18.5024278047534
594.0,2022-07-25,733.0,734.5,728.0,731.0,0.97,101736.0,74412150.5,39.13,18.6813186813187
593.0,2022-07-26,731.1,731.1,708.0,709.0,-3.01,102412.0,73394457.6,39.13,18.1190902121135
592.0,2022-07-27,709.0,714.9,701.0,711.0,0.28,54808.0,38840191.1,39.13,18.1702018911321
591.0,2022-07-28,719.9,719.9,705.1,709.0,-0.28,75111.0,53398498.3,39.13,18.1190902121135
590.0,2022-07-29,712.0,715.0,706.0,707.9,-0.16,30305.0,21491560.1,39.13,18.0909787886532
589.0,2022-07-31,710.0,731.0,707.0,725.0,2.42,87775.0,63352657.3,39.13,18.5279836442627
588.0,2022-08-01,730.0,730.0,721.0,722.0,-0.41,60754.0,44154399.8,39.13,18.4513161257347
587.0,2022-08-02,730.0,730.0,720.2,720.2,-0.25,44090.0,31879757.1,39.13,18.4053156146179
586.0,2022-08-03,720.2,725.0,715.0,715.0,-0.72,50858.0,36562734.2,39.13,18.2724252491694
585.0,2022-08-04,719.9,719.9,705.0,706.0,-1.26,58366.0,41331887.3,39.13,18.0424226935855
584.0,2022-08-05,700.0,704.8,695.0,695.5,-1.49,33014.0,23041620.0,39.13,17.7740863787375
583.0,2022-08-07,700.0,706.0,695.0,699.0,0.5,41323.0,28874081.3,39.13,17.8635318170202
582.0,2022-08-08,712.9,712.9,686.0,694.0,-0.72,47484.0,33054044.9,39.13,17.7357526194735
